mean_ocr_confidence,uncertain_tokens_count,missing_mandatory_fields_count,hs_code_invalid_flag,missing_permit_flag,weight_mismatch_flag,quantity_mismatch_flag,desc_similarity_score,risk_label
83.09098538768805,11,0,0,0,0,1,0.9821321790424665,1
83.96806232449832,0,2,0,0,0,0,0.926141389441791,1
91.07890422089861,1,0,1,0,0,0,1.0,2
93.41919254627551,0,0,1,0,0,0,0.77457932213873,2
88.69007463360228,3,1,0,0,0,0,0.7130501784562755,1
76.25748052680686,2,0,0,0,0,0,1.0,0
96.08021254218386,4,0,0,1,0,0,1.0,2
83.42931807342997,14,1,0,0,1,0,0.66246016629919,2
82.43984027278213,4,0,0,1,0,0,1.0,2
71.96558087360718,8,0,0,0,0,0,0.7862875516551892,0
82.21934735689308,8,1,0,0,0,1,1.0,1
78.27639332531973,7,0,1,0,0,1,0.8430180627969521,2
81.1099607204717,2,0,0,0,0,0,0.9100733071340387,0
79.54024434109849,6,0,0,0,0,0,0.9828583096864405,0
81.68138998770726,9,1,0,0,0,0,0.8523410792180827,1
73.43963766600137,2,1,0,0,0,1,0.9851054160405661,1
91.25206487659929,0,0,0,0,0,0,1.0,0
98.22705898678588,7,0,0,0,0,0,0.5806158801154886,1
75.39486481768455,5,0,0,0,0,0,0.9587644486423408,0
73.69204906896981,6,0,0,1,0,0,0.8451892005583844,2
93.69174774794968,4,0,0,0,0,0,0.732209447381335,0
92.72929796856465,8,0,0,0,0,0,0.7693377963400894,0
80.91672230339847,0,0,0,0,1,0,1.0,2
95.99772554261477,3,0,0,1,0,0,0.8753549244050901,2
100.0,5,1,0,0,0,0,0.6993217608421552,1
85.76709999518344,3,0,0,0,0,0,0.7326474623041971,0
82.70383466777993,13,2,0,0,1,0,0.8651940263785195,2
76.21027698834399,12,0,1,0,0,0,0.7752410480044625,2
79.34357200302935,1,1,1,0,0,0,0.9487822636308814,2
88.29856124647242,9,0,0,1,1,0,0.912096886806584,2
100.0,7,1,0,0,0,0,0.9585403704193782,1
82.72909555877835,0,0,0,1,0,0,0.7086226946188806,2
78.3081101943563,11,0,0,1,0,0,0.776867795232485,2
74.8626396866285,2,0,0,0,1,1,1.0,2
78.65032195441178,13,0,0,0,0,0,1.0,0
79.5884749653999,6,0,0,0,0,1,0.8788868355905098,1
90.3587170397424,3,1,1,0,0,0,0.9278337335467796,2
90.54684804147796,12,0,0,0,0,0,0.899498500872155,0
94.88843610373576,4,2,0,0,0,0,0.7487081951477236,1
82.35916531214065,3,0,1,0,0,0,1.0,2
81.77314331333979,1,0,0,0,0,0,0.7712595271551927,0
91.01727493887796,3,1,0,0,0,0,0.9990922896350968,1
74.74909693039871,8,0,0,0,0,0,1.0,0
75.41953417616094,3,1,0,0,0,0,0.8721029447941939,1
100.0,0,0,1,0,0,1,0.8174687603244623,2
70.10074466900817,0,0,1,0,0,0,1.0,2
70.7407252156401,8,0,0,0,1,0,0.9897152088895996,2
95.35843881531945,8,2,0,0,1,0,1.0,2
92.52229654076064,8,0,0,0,0,0,0.8679033728450617,0
77.11048059616638,9,0,1,0,0,0,0.9058175886895249,2
81.73341871494809,11,0,1,0,0,0,0.7210309186965056,2
90.48286222008007,5,0,0,1,1,0,0.7649503186102976,2
91.12514784866963,8,0,0,0,0,0,1.0,0
76.21974360538997,5,2,0,0,1,0,0.8218307862497762,2
100.0,11,0,0,0,0,0,0.880814595513898,0
80.36928698590869,4,0,0,0,0,1,0.972137181740429,1
81.87660492957708,0,1,0,0,0,0,0.710570520593651,1
100.0,0,0,0,0,1,0,0.8762584884259578,2
84.18876093713142,4,0,0,0,1,1,0.8599413631882933,2
